name,wgs_lat,wgs_lng,type_code,base_type,sub_type,category
北京京川文化艺术交流有限公司,39.9624643039698,116.317214745701,"170200",公司企业,公司,公司
北京九方立泰商贸有限公司,39.9624643039698,116.317214745701,"170207",公司企业,公司,商业贸易
东方乾丰散热器（北京）有限公司,39.9624643039698,116.317214745701,"170200",公司企业,公司,公司
北京顺驰天创信息技术有限公司,39.9624643039698,116.317214745701,"170206",公司企业,公司,网络科技
雷力农用化学有限公司,39.9624643039698,116.317214745701,"170205",公司企业,公司,冶金化工
体验之路（北京）文化发展有限公司,39.9624643039698,116.317214745701,"170200",公司企业,公司,公司
北京吉奥众艺科技有限公司,39.9624643039698,116.317214745701,"170206",公司企业,公司,网络科技
三联卓越纺织化工技术有限公司,39.9624643039698,116.317214745701,"170200",公司企业,公司,公司
北京二六五科技有限公司,39.9624643039698,116.317214745701,"170206",公司企业,公司,网络科技
北京溢海情缘房地产经纪有限公司,39.9624643039698,116.317214745701,"170200",公司企业,公司,公司
北京方通正信科技有限公司,39.9624643039698,116.317214745701,"170206",公司企业,公司,网络科技
北京宇宸星海科技有限公司,39.962468309544,116.317211752031,"170206",公司企业,公司,网络科技
日本日中环境协力支援中心有限会社北京代表处,39.962468309544,116.317211752031,"170200",公司企业,公司,公司
法国欧密斯（北京）贸易有限公司,39.962468309544,116.317211752031,"170207",公司企业,公司,商业贸易
北京讯为动力信息技术有限公司,39.962468309544,116.317211752031,"170206",公司企业,公司,网络科技
侨兴集团北京办事处,39.962468309544,116.317211752031,"170200",公司企业,公司,公司
北京科迩康新业设备有限公司,39.962468309544,116.317211752031,"170200",公司企业,公司,公司
北京联润通达科技发展有限公司,39.962468309544,116.317211752031,"170206",公司企业,公司,网络科技
